L1,Al,As,Cd,Cr,Cu,Fe,Hg,Ni,Pb,V,Zn,TBT,PCB28,PCB52,PCB77,PCB81,PCB101,PCB118,PCB126,PCB128,PCB138,PCB153,PCB156,PCB169,PCB180,Somma DDD,Somma DDE,Somma DDT,Clordano,Aldrin,Dieldrin,Endrin,aHCH,bHCH,gHCH Lindano,Eptacloro epossido,HCB,Idrocarburi C 12,Naftalene,Antracene,Fenantrene,Acenaftilene,Acenaftene,Fluorene,Fluorantene,Pirene,Benzo antracene,Crisene,Benzo fluorantene,Benzo pirene,Benzo fluorantene,Indeno pirene,Benzo perilene,Dibenzo antracene,Somma_IPA_16
MEDIO,1085.29411764706,8.04647058823529,0.079705882352941,4.02352941176471,13.4411764705882,15791.1764705882,-1,16.9647058823529,12.4517647058824,38.3352941176471,46.9411764705882,15.9180570135747,-1,0.155,-1,-1,0.267,0.226,-1,,0.431,0.491,-1,-1,0.261,0.4025,0.3311,1.1581,-1,-1,-1,-1,-1,-1,-1,-1,0.05,-1,2.088,7.078,18.064,0.772,2.672,3.894,53.396,54.582,14.618,16.918,18.151,17.632,17.651,17.064,13.447,3.762,261.789
ALTO,1208.31707317073,8.89695121951219,0.12530487804878,5.67317073170732,11.890243902439,15640.243902439,-1,21.2439024390244,12.4951219512195,23.0219512195122,45.030487804878,10.0289617070332,0.199,0.175,-1,-1,0.203,0.198,-1,,0.393,0.486,-1,-1,0.207,0.9158,0.4602,3.7037,-1,-1,-1,-1,-1,-1,-1,-1,0.07,-1,2.034,3.22,11.769,0.724,1.148,2.939,22.919,24.401,8.159,10.247,12.449,10.605,10.181,11.848,10.084,2.567,145.294
ASSENTE,3866.02339181287,7.47397660818714,0.070175438596491,6.1812865497076,11.6081871345029,11561.4035087719,0.042865497076023,17.953216374269,4.65964912280702,29.2149122807018,37.3099415204678,0.680259184560931,0.284,0.21,0.05,0.05,0.234,0.164,0.05,0.05,0.258,0.349,0.05,0.05,0.126,0.2445,0.2249,0.5371,0,0,0,0,0,0,0,0,0,11.4,0.195,1.684,9.687,2.825,0.648,9.685,0.213,26.156,9.194,10.486,12.471,10.771,10.991,11.23,10.69,2.597,129.523
ASSENTE,932.030303030303,10.7875757575758,0.046060606060606,2.34242424242424,4.21212121212121,6212.12121212121,0.037212121212121,7.84848484848485,1.63393939393939,15.8315151515152,10.2424242424242,0.28,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0203,0.0354,0.0387,0,0,0,0,0,0,0,0,0,0,6.606,1.035,12.264,1.336,1.327,16.8,2.174,6.93,1.061,4.303,1.948,1.57,1.703,1.556,1.77,0.443,62.826
ASSENTE,2063.16455696202,6.97879746835443,0.057278481012658,2.74367088607595,3.86075949367089,5680.37974683544,0.037974683544304,8.0379746835443,1.70854430379747,13.3882911392405,9.58860759493671,0.45,0.17,0.148,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0652,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4.737,0.1,0.242,4.662,0.338,1.07,0.1,0.443,0.1,0.1,0.1,0.1,0.1,0.1,12.492
ASSENTE,1227.15133531157,7.76290801186944,0.0486646884273,2.93768545994065,4.65875370919881,6023.73887240356,0.034480712166172,9.40652818991098,1.98456973293769,15.0611275964392,12.0178041543027,0.38,0.135,0.163,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1815,0.0499,0.1379,0,0,0,0,0,0,0,0,0,0,0.1,0.3,8.357,0.579,0.431,6.659,1.937,1.918,0.79,4.426,2.469,1.358,2.218,1.013,0.939,0.225,33.719
ALTO,1414.8785046729,7.64610591900312,0.107788161993769,5.4404984423676,16.1993769470405,20009.3457943925,-1,23.7258566978193,9.66479750778816,28.2068535825545,51.588785046729,10.1118136467609,0.31,0.21,-1,-1,0.241,0.199,-1,,-1,-1,-1,-1,-1,1.2007,0.827,2.2283,0.0312,-1,-1,-1,-1,-1,-1,-1,0.08,-1,0.741,2.893,14.717,0.65,1.002,3.193,41.956,48.421,10.246,12.51,20.783,15.381,14.779,15.562,11.863,3.714,218.411
ALTO,1221.50157728707,6.77444794952681,0.086750788643533,4.55015772870662,104.763406940063,19432.1766561514,0.004858044164038,18.5993690851735,14.1577287066246,38.6637223974763,54.5425867507886,5.72449117407515,0.192,0.136,-1,-1,0.226,0.255,-1,,0.353,0.556,-1,-1,0.239,0.6847,0.4814,1.7048,0.0267,-1,-1,-1,-1,-1,-1,-1,0.08,16000,0.733,3.306,11.445,0.87,0.8,3.26,35.272,39.091,11.803,14.773,20.369,18.747,16.776,25.201,20.235,4.978,227.659
ASSENTE,1801.66666666667,7.36369047619048,0.036607142857143,4,2.97619047619048,7157.73809523809,0.03577380952381,10.4464285714286,1.67172619047619,18.6419642857143,11.6964285714286,0.87,0.118,0.152,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0.0205,0.0896,0,0,0,0,0,0,0,0,0,0,6.638,0.1,2.162,0.721,0.1,9.746,0.318,0.5,0.1,0.1,0.204,0.1,0.1,0.1,0.1,0.1,21.189
MEDIO,2462.67045454545,9.31875,0.056818181818182,4.97727272727273,8.69318181818182,9477.27272727273,0.046647727272727,14.6590909090909,3.99517045454545,25.2068181818182,25.9375,14.4037392000481,0.863,0.347,0.05,0.05,0.245,0.232,0.05,0.05,0.479,0.656,0.05,0.05,0.305,0.4931,0.2593,0.7295,0,0,0,0,0,0,0,0,0,0,6.472,1.858,14.431,113.078,0.856,22.3,0.742,24.101,7.871,10.226,11.122,10.026,11.371,10.089,10.216,1.916,256.675
